IDENT	LATITUDE	LONGITUDE
VEKAV	53,564444444	19,425555556
VADRU	55,6975	17,785555556
IVGOR	55,584444444	17,958888889
ARDUT	53,858055556	21,167222222
IBINO	53,562862667	19,980614444
LUSUL	53,825277778	21,283055556
NIVON	53,644722222	20,041666667
UDROV	53,260833333	20,833333333
ARGIX	50,945	21,972222222
GAVDU	50,841138889	22,069722222
LIBGA	50,825277778	22,211666667
EVEPU	51,901666667	19,606388889
ELPOL	54,606388889	15,633888889
ENOBI	53,592777778	23,629722222
ERGON	52,906111111	14,156666667
ETUBO	52,469166667	22,9625
GIGAL	51,078611111	16,491944444
GILAS	52,631666667	14,525833333
GINOK	52,526388889	16,478888889
GIPOS	51,698333333	19,71
GOLAD	54,333333333	22,175
GOMED	54,447777778	19,654166667
GOMOR	51,183333333	17,617222222
GONTU	53,495555556	19,318611111
GORAT	53,178055556	23,894166667
GORPI	54,916666667	15,655
GOSAK	50,557777778	20,304444444
GOSOT	54,805555556	14,857777778
GOVEN	52,058333333	14,755555556
IBEKA	50,027777778	18,941666667
IDEXU	52,697222222	17,036111111
INDIG	51,996666667	18
IPLIT	54,637777778	19,355555556
KELEL	49,313611111	20,175277778
KOLOB	54,823055556	14,944166667
KORUP	51,583055556	14,738055556
KULEK	53,552777778	20,5
KULUV	51,647777778	16,339166667
GITOV	54,368333333	20,698333333
ORSOX	50,319722222	18,537222222
ADADO	50,209480556	17,747930556
KUNER	55,258611111	18,448055556
KUTEV	52,214722222	20,924444444
LAGAR	50,795275	15,367088889
LARMA	55,274444444	16,501666667
LASGU	53,211111111	19,177222222
LASIS	51,407061111	14,961547222
LATAG	51,721666667	15,746666667
LATMI	55,448611111	18,167222222
LETKI	52,188055556	23,404444444
LOLKA	49,22	20,1
LOLKO	51,6925	15,935
LUBEN	51,224166667	19,9575
LUGOL	49,205555556	22,738055556
LUKOR	50,586666667	20,204444444
LURAD	50,191944444	18,574444444
LUSID	54,916666667	15,296111111
MAGAN	52,85	17,616666667
MAKOV	51,149166667	19,111944444
MAPEX	53,706111111	17,003611111
MIRVO	53,388055556	15,920833333
MISKA	51,185833333	16,934444444
MIXAT	51,488333333	18,008055556
MOKOS	50,507222222	19,356111111
MOLIL	52,592222222	18
EKRON	54,583611111	14,709444444
MOSIR	50,206944444	22,775
MOTAD	55,209444444	17,505555556
MYSKO	50,536388889	19,279444444
NAKER	51,496944444	21,580277778
NASOK	53,091944444	19,006388889
NATIX	49,926666667	21,383611111
NOMIX	49,939722222	18,923055556
NOSKU	51,168611111	15,871388889
OBALU	50,710833333	20,109444444
ODRAP	49,741944444	21,841111111
OLKIN	53,769166667	20,5
OLUMA	51,896666667	15,756111111
OSMAT	50,242777778	23,045555556
PENOR	55,638611111	17,161388889
PESEL	53,507777778	14,325833333
PODAN	49,412777778	21,439166667
POKEN	54,819722222	14,564166667
RANOK	54,912777778	18,958333333
RASAN	51,013752778	15,094666667
RASUT	51,145555556	16,259166667
REGLI	50,030277778	17,995555556
ROBOV	54,2625	15,055833333
RODAK	50,606388889	20,162777778
ROGAL	50,986944444	19,485555556
ROLKA	50,404166667	23,825555556
RONEX	52,9225	16,225277778
ROTOL	50,965833333	16,290833333
ROVEK	53,378888889	14,881666667
RUDKA	52,851388889	23,921944444
RUMAR	55,033611111	16,070833333
RUTUK	51,585555556	22,124444444
SABAB	50,770277778	17,899166667
SKAVI	49,940277778	19,9
SOMOR	53,226944444	19,35
SOTET	53,829722222	23,553055556
SOVAM	51,440277778	16,714444444
SUPAK	49,303611111	19,799722222
TADAK	53,2825	16,898888889
TELDU	50,248055556	22,737777778
TEPNA	49,504722222	22,656111111
TILAV	54,416388889	15
TOLPA	51,302777778	23,645833333
TOMKO	53,695277778	15,850555556
TOMTI	50,953055556	15,293333333
TOSPO	52,016388889	23,664722222
TUROL	53,858611111	20,5
UNDUK	53,576111111	17,976388889
UREKO	50,629444444	22,708611111
USTIL	50,833333333	24,1
VABER	54,194444444	23,406944444
VAGSA	51,333055556	17,555833333
VAREN	49,899444444	22,668333333
VAVEL	50,066388889	19,961944444
VELAB	51,469722222	16,748888889
VIBUL	54,341666667	15,274444444
XALUR	51,850833333	19,995277778
XELOL	54,2775	14,895
GOTIX	50,021666667	23,211944444
ASLUX	52,320555556	22,160555556
TOXAR	52,613333333	22,538888889
XELET	50,8375	17,125833333
NAROX	51,203055556	15,010555556
ROPIK	51,450555556	16,176666667
PEVUM	52,309444444	18,6575
ODLOT	53,496111111	17,403888889
OSKUD	53,7175	19,761944444
NAXAR	49,760555556	19,812500222
KUSUL	51,046388889	17,069166667
AGALU	51,471388889	17,385555556
GERVI	52,155277778	22,200833333
GIXOL	49,829166667	19,351944444
KUKOP	52,147777778	20,410555556
LEMBU	51,891455	21,357607
OKENO	51,569722222	18,593888889
OSTET	51,846861	20,942722
SOMOX	51,468055556	22,443055556
ASTEX	52,141111111	21,087222222
DIBLO	52,129722222	19,344166667
DOSIX	52,348055556	19,2275
GOGUS	51,58	19,633055556
NUBLI	51,358611111	19,887777778
PENEX	52,563055556	19,277222222
VEMAL	52,451666667	19,171666667
APSIK	54,666666667	16,666666667
ARPEL	54,1825	16,15
BAMOX	54,715555556	17,283333333
BETUP	53,198055556	20
BEVOS	51,163611111	21,238611111
DISEK	52,924444444	14,867777778
ERPUX	54	18
ABERO	52,227777778	23,208888889
ABEXA	51,604722222	20,921666667
ADIKA	51,538333333	21,329444444
ALUKA	52,899166667	14,306666667
AMROR	54,89	15,097222222
AMUTO	52,333333333	18,945833333
ARMEX	51,495555556	17,123888889
BABEN	54,388055556	15,241944444
BADNO	51,75	17,678333333
INKOK	51,616666667	16,556388889
NAPUT	52,906666667	20,559166667
PIDAT	51,293333333	18,483333333
VEDOX	54,366666667	16,65
BALBA	50,861666667	23,023333333
BALOS	50,275555556	19,658333333
BEDAM	53,739722222	15,192222222
BESOT	52,921666667	22,944444444
BIBKA	53,190833333	18,955
BINKA	53,759557889	14,275578361
BODLA	53,275833333	14,41
BOKSU	54,3075	23,059166667
BULEP	52,771111111	22,418888889
DELIR	53,080555556	17,113611111
DEMUR	54,08	15,007777778
DERAM	51,846944417	19,280833278
DESEN	50,270102778	17,51695
DEVEL	54,730833333	15,748055556
DIBED	49,888333333	23,058333333
DIMEX	51,630555556	16,128611111
DIPKI	52,202777778	17,462777778
DOMAG	54,974444444	17,685555556
