IDENT	LATITUDE	LONGITUDE
SY513	53,558921556	20,44063825
SY514	53,575173	20,823261306
SY516	53,61021025	21,151843972
SY517	53,545397444	20,973285639
SY791	53,442930833	20,427896222
SY792	53,554917833	20,603873278
SY793	53,816985639	20,928381417
SY801	53,73996475	20,873772722
SY369	53,324666667	20,850027778
SY371	53,396444444	20,89
SY802	53,693888889	21,058277778
SY803	53,605722222	21,00725
AEPWM	52,284916667	20,8685
AEPCH	52,783777778	23,426944444
LK528	51,370333333	19,318111111
LK521	51,462027778	18,890805556
GD941	54,321027778	18,693972222
GD901	54,319388889	18,700555556
WR762	51,222333333	16,492222222
WA532	52,122849	20,774673
WA704	52,221383	21,863961
WA511	51,904832	21,705068
WA512	52,063148001	21,724542
WA508	52,378599001	20,727945
WFI3C	52,030031	21,085352
WA573	52,161075	21,891151
WA594	52,165928	21,583796
WA537	51,793596	21,289382
WDER5	52,149363861	20,981438805
WA663	52,607693945	20,623944972
WA656	52,020333917	21,079920361
WDER9	52,171474917	20,946713778
WA791	52,346790833	20,773883639
WDER3	52,178572222	20,95590825
GRD9	54,381068472	18,452051389
WA444	52,464685889	20,079436472
WA414	52,337112167	20,348385861
WA413	52,309942889	20,44759025
WA412	52,282690111	20,546672389
WA411	52,25535525	20,645632944
FAP	52,227252722	20,746941833
WA442	51,888503	21,461355
WA452	51,983936	20,972377
WA617	52,458495	20,709278
WA616	52,399954	20,761155
WA614	52,341373	20,812846
FAF15	52,287525	20,877544
WA593	51,554947	20,886033
WA564	51,746621001	20,878978
WA536	51,852374	21,2389
WA534	51,911126	21,188275
WA533	51,969856	21,137517
FAP33	52,030031	21,085352
WFI1B	52,227252722	20,746941833
WA448	52,232544	20,397555001
WA618	52,517015	20,657268
WFV5A	52,285168056	20,878116417
EPTMN	51,657222222	20,160555556
EPTMS	51,474722222	20,006111111
EPTMW	51,601111111	19,921944444
EPSNW	53,736111111	16,35
BARDO	53,830555556	16,105555556
EPSNG	53,651388889	16,027777778
LEKOV	53,815555556	15,674444444
EPWAR	52,135041667	20,889558333
WA468	52,067949	21,227883
WA531	52,057649	21,026085
WA733	52,001492	21,544929
WA732	52,029689	21,446871
WA731	52,057717	21,34893
WA729	52,085668	21,250868
WFV9B	52,107654889	21,144739667
WA507	52,247465	20,57517
WA709	52,223529	20,721994
